customers_id,customers_entry_time,customers_time_done,customers_date,customers_served_by,customer_uuid,customer_service_needed,DO_NOT_TOUCH_FOR_REFERENCE_ONLY_customer_service_needed,customers_waiting_time
6984,802,807.13,2019-12-01 19:18:08,ca2c28a2-5a68-48da-9261-49e1ed881e91,1bb3e693-9f40-435a-a858-b75c93573e8a,0.0,4.13,5.13
7034,805,809.1,2019-12-01 19:18:08,db12c631-7ef4-4bb8-b0ec-dc3a32e8ee5f,78ebc608-7915-4b2c-a6f3-c4ffd3e78e3f,0.0,3.1,4.1
6973,806,811.92,2019-12-01 19:18:08,ca2c28a2-5a68-48da-9261-49e1ed881e91,d32605a2-617e-4952-b5de-bc04df0cd50c,0.0,4.92,5.92
7026,811,814.45,2019-12-01 19:18:08,ca2c28a2-5a68-48da-9261-49e1ed881e91,c03c2dfa-414a-4f82-bd65-9b6d8aff3645,0.0,2.45,3.45
7012,817,822.97,2019-12-01 19:18:08,ca2c28a2-5a68-48da-9261-49e1ed881e91,567256c0-680f-4cf2-829a-d759287cefa1,0.0,4.97,5.97
6949,818,823.4,2019-12-01 19:18:09,db12c631-7ef4-4bb8-b0ec-dc3a32e8ee5f,dae330e0-5020-479e-802a-f3b2234420f8,0.0,4.4,5.4
7056,821,825.62,2019-12-01 19:18:09,ca2c28a2-5a68-48da-9261-49e1ed881e91,be44f37b-f2c9-4ff3-8d5c-ea6a4ed7190b,0.0,3.62,4.62
6977,825,828.8,2019-12-01 19:18:09,ca2c28a2-5a68-48da-9261-49e1ed881e91,209aa756-2e8c-4081-9ef8-e27c079a0636,0.0,2.8,3.8
7031,825,830.64,2019-12-01 19:18:09,db12c631-7ef4-4bb8-b0ec-dc3a32e8ee5f,0f2d7690-1857-44cc-a06d-1da8a1470e52,0.0,4.64,5.64
6994,826,830.36,2019-12-01 19:18:09,ca2c28a2-5a68-48da-9261-49e1ed881e91,9f62bdbc-ecd0-4064-8fbb-73e4ac6d8752,0.0,2.36,4.36
7045,828,833.36,2019-12-01 19:18:09,ca2c28a2-5a68-48da-9261-49e1ed881e91,9307199b-ef4a-4eb6-a28a-b80a3ffd57d9,0.0,3.36,5.36
7002,832,835.14,2019-12-01 19:18:09,ca2c28a2-5a68-48da-9261-49e1ed881e91,5e48880f-c742-4410-b3fe-3067722071d9,0.0,2.14,3.14
6990,835,840.59,2019-12-01 19:18:09,ca2c28a2-5a68-48da-9261-49e1ed881e91,eb9b8ae5-aa29-4ed3-83b2-05a14cce5d74,0.0,4.59,5.59
7021,843,846.81,2019-12-01 19:18:09,ca2c28a2-5a68-48da-9261-49e1ed881e91,bd10fd7d-3d49-4459-83c3-6e8d7c208fc0,0.0,2.81,3.81
7025,845,850.11,2019-12-01 19:18:09,ca2c28a2-5a68-48da-9261-49e1ed881e91,f889668a-71b3-4b93-8a3f-23ca8eec4d76,0.0,4.11,5.11
7000,851,855.73,2019-12-01 19:18:09,ca2c28a2-5a68-48da-9261-49e1ed881e91,c9f3b984-65fe-43af-86d2-68d742f008c2,0.0,3.73,4.73
