customers_id,customers_entry_time,customers_time_done,customers_date,customers_served_by,customer_uuid,customer_service_needed,DO_NOT_TOUCH_FOR_REFERENCE_ONLY_customer_service_needed,customers_waiting_time
17873,482,484.34,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,a8fba10d-5f9f-46e1-b194-9d0e7d6a26e0,0.0,2.34,2.34
17893,484,487.11,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,5399abd7-6b25-4e92-9397-c1117045135b,0.0,3.11,3.11
17931,484,489.5,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,eeb7e96d-38ee-4298-b930-c63f7d649011,0.0,2.5,5.5
17870,484,491.96,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,199fd895-e122-4ba8-9e3f-6e0c552df4d1,0.0,2.96,7.96
17846,488,493.79,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,48f0a221-bec0-4a2c-b005-05354302633f,0.0,2.79,5.79
17887,489,495.59,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,f535e8fc-b072-4eb6-ad87-1f598339b56f,0.0,2.59,6.59
17784,491,498.74,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,613d5d68-341a-4dd3-b6cd-bf32475534ec,0.0,3.74,7.74
17848,494,501.18,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,cd9f4465-b3fc-4bde-8dff-3eb506e96f00,0.0,3.18,7.18
17894,498,503.69,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,cca5a11b-6058-4a32-831b-168fffed2e31,0.0,2.69,5.69
17936,502,506.15,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,faa57693-bcdc-40c4-95c3-6e8259045899,0.0,3.15,4.15
17777,514,517.48,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,48e0bbb4-e675-43e8-a0ad-a80d2c87f83f,0.0,3.48,3.48
17926,516,520.12,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,7bf0d8fc-4529-44ea-b887-ec6256c30c68,0.0,3.12,4.12
17897,517,523.57,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,d1663b7f-ce00-4f6f-9404-ec16090aeeb4,0.0,3.57,6.57
17791,521,529.56,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,7d3c3508-9bc3-4d2c-a3f4-af6e7da44101,0.0,3.56,8.56
17857,521,526.19,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,596fff06-0b55-4d20-9573-1a82918d0cbf,0.0,3.19,5.19
17814,528,534.92,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,eae2f773-3d2f-405b-9fa3-187f37a3872d,0.0,3.92,6.92
17880,528,531.23,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,6644e211-be1b-46ff-aadb-6a3a229f0cc7,0.0,2.23,3.23
17833,534,540.93,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,26fc765d-d019-4ed6-8455-f0241449ba42,0.0,3.93,6.93
17928,534,537.18,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,84fd2551-229c-4a6f-95bc-d0fe6034e565,0.0,3.18,3.18
17901,535,542.96,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,4dc8dd69-a614-4268-8aef-dc681b5c98d9,0.0,2.96,7.96
17786,542,544.89,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,d9799874-4cf1-4d1e-a61f-5fa0daf92987,0.0,2.89,2.89
17835,545,547.65,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,a9b5e4fc-da8c-4bd9-bc37-756ce1b9caaa,0.0,2.65,2.65
17785,547,550.94,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,85fd0664-e69f-4dc4-97b8-dae9fac440b2,0.0,3.94,3.94
17854,549,552.16,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,ddd46432-3eed-450f-a52a-6cd0bf808ddb,0.0,2.16,3.16
17781,550,555.98,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,24309f77-e66d-47ec-94a8-472c13f83b84,0.0,3.98,5.98
17796,552,558.1,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,da0443b8-4166-4345-97f6-854a58b6ec9a,0.0,3.1,6.1
17915,567,569.78,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,1e6ae64d-dc66-439c-b1b1-4e2cfe6e952e,0.0,2.78,2.78
17817,569,573.87,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,c4a26753-32dd-4632-9ef8-482e266ceec8,0.0,2.87,4.87
17890,569,571.56,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,c1ad489a-e923-4820-9204-e3a643b80743,0.0,2.56,2.56
17824,572,575.18,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,d994cd94-7d80-4b31-a8d5-9dab81f58887,0.0,2.18,3.18
17869,576,579.06,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,32b5603e-b9cf-4fbf-905c-52ee656f7df4,0.0,3.06,3.06
17916,583,585.12,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,30b5c54a-89b9-43dc-ae7b-e3fbd7f5ebeb,0.0,2.12,2.12
17834,586,589.21,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,711e88d0-6c27-43a9-8919-fba96c4181fe,0.0,3.21,3.21
17941,601,604.12,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,fc9e629f-04b3-4ff6-968e-15987364d296,0.0,3.12,3.12
17826,607,611.13,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,c47e77ee-c2d0-452d-9172-b6c5bb5093e6,0.0,2.13,4.13
17874,607,609.18,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,55fa0f3f-dbff-4623-a906-a507ee1874e2,0.0,2.18,2.18
17831,608,614.25,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,62ebf1b3-e3f8-4914-82ed-f6e66f62d8b5,0.0,3.25,6.25
17806,613,617.06,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,16a68382-7777-49fe-8731-05ede47cc722,0.0,3.06,4.06
17937,618,621.49,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,e37bc400-5005-4343-ac1c-29c465e62bde,0.0,3.49,3.49
17860,620,624.57,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,68c68e06-bc90-4dc8-b123-b66146b7534f,0.0,3.57,4.57
17819,620,626.23,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,a83c9889-d0e2-4ae2-b85e-2a609481e457,0.0,2.23,6.23
17775,624,628.12,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,12235e90-c96a-49e5-ba28-f7499deac4d3,0.0,2.12,4.12
17840,625,634.04,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,98b4a808-1de6-4bb9-a229-ff66660dac54,0.0,3.04,9.04
17905,625,631.23,2019-12-01 22:11:33,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,a1011800-d29f-42af-8607-2699ddf5fe94,0.0,3.23,6.23
17776,630,637.75,2019-12-01 22:11:34,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,b95f98db-e82b-4c12-a04e-322131f0d65f,0.0,3.75,7.75
17823,640,648.89,2019-12-01 22:11:34,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,bcf28dba-2aea-418e-85a5-7e1f03ac4ea5,0.0,2.89,8.89
17933,640,646.76,2019-12-01 22:11:34,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,52db905d-e68c-4a87-97b6-f2657dca12c8,0.0,3.76,6.76
17927,640,643.58,2019-12-01 22:11:34,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,c6e88605-4ec8-44d6-a0eb-ef0a8dae790e,0.0,3.58,3.58
17825,647,650.29,2019-12-01 22:11:34,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,0852081c-f9bc-47d2-89c1-5d3364d55904,0.0,2.29,3.29
17929,653,655.3,2019-12-01 22:11:34,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,82d7e245-c83f-42c1-aa7d-f36b1d157ce1,0.0,2.3,2.3
17805,655,658.05,2019-12-01 22:11:34,bf65f2ca-529d-49ad-be5d-96ec4aeb7007,1745398f-2d99-44e3-8c9a-488e4926f2d9,0.0,3.05,3.05
